time="2018-12-17T06:06:39-05:00" level=info msg="Time: 2018-12-17 11:06:39.756416627 +0000 UTC , Msg: Humidity:54"
time="2018-12-17T06:06:41-05:00" level=info msg="Time: 2018-12-17 11:06:41.014673378 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:06:45-05:00" level=info msg="Time: 2018-12-17 11:06:45.001035554 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:06:46-05:00" level=info msg="Time: 2018-12-17 11:06:46.26248515 +0000 UTC , Msg: Temperature: 27"
time="2018-12-17T06:06:50-05:00" level=info msg="Time: 2018-12-17 11:06:50.247021696 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:06:51-05:00" level=info msg="Time: 2018-12-17 11:06:51.511009007 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:06:55-05:00" level=info msg="Time: 2018-12-17 11:06:55.491572675 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:06:56-05:00" level=info msg="Time: 2018-12-17 11:06:56.758242558 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:07:00-05:00" level=info msg="Time: 2018-12-17 11:07:00.735940726 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:07:02-05:00" level=info msg="Time: 2018-12-17 11:07:02.007292912 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:07:05-05:00" level=info msg="Time: 2018-12-17 11:07:05.980401538 +0000 UTC , Msg: Humidity:53"
time="2018-12-17T06:07:07-05:00" level=info msg="Time: 2018-12-17 11:07:07.25405228 +0000 UTC , Msg: Temperature: 28"
time="2018-12-17T06:07:11-05:00" level=info msg="Time: 2018-12-17 11:07:11.225479569 +0000 UTC , Msg: Humidity:53"
